Code,Name,Color,ImageUrl
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699529"";""13604"")",PLA Silk+,Blue,https://store.bblcdn.eu/s8/default/1b8e27cc04554d7ab6e15d6ea9585fd5/PLA_Silk_4.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699530"";""13702"")",PLA Silk+,Purple,https://store.bblcdn.eu/s8/default/6823459945094bcea32116568a00cdf0/PLA_Silk_9.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699531"";""13207"")",PLA Silk+,Pink,https://store.bblcdn.eu/s8/default/ee9c1fa0fb20497081755afe4acb0831/PLA_Silk_1.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699532"";""13110"")",PLA Silk+,White,https://store.bblcdn.eu/s8/default/9f2542f1b7a34d9096655cd8788d2ae5/PLA_Silk_6.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699533"";""13109"")",PLA Silk+,Silver,https://store.bblcdn.eu/s8/default/7d86004d3ab3461cb446f1faa3c4c3e3/PLA_Silk_11.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699534"";""13405"")",PLA Silk+,Gold,https://store.bblcdn.eu/s8/default/a389e82dffba45b7b9729a20afc2a80d/PLA_Silk_8.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944066"";""13612"")",PLA Translucent,Teal,https://store.bblcdn.eu/s8/default/18aacd2b879441cd80c2cd067b2ad0a1/teal_4dc29df4-13e2-4c00-9e6a-7dbf9183952a.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944067"";""13611"")",PLA Translucent,Blue,https://store.bblcdn.eu/s8/default/897233e480eb42d3bbc03e0bc79eaafd/000878ce6144c05ffac949f66b05a18b_0a1f2a15-2a6c-4e9e-88b1-029f32d29e27.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944068"";""13710"")",PLA Translucent,Purple,https://store.bblcdn.eu/s8/default/6a9756a7330f435680a38eddc5f1ef0f/996c0314d3c9f4f6a92e228ed4c8e264_a6207c48-38ce-4034-8302-449a67d23b51.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944069"";""13301"")",PLA Translucent,Orange,https://store.bblcdn.eu/s8/default/2c97c8fe53e84d41bb62db185fcb74b4/c8682a1b6d56a22c3b0a59f59bf75cf5_b6dcbcfa-e6f8-41b9-a666-bef24ba52ac7.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944070"";""13210"")",PLA Translucent,Red,https://store.bblcdn.eu/s8/default/4af9bce7cfd243e3bae35a822b919987/520f764beb1954cab793b251ed2a5a3f.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944071"";""13510"")",PLA Translucent,Light Jade,https://store.bblcdn.eu/s8/default/99b56f8c67834ab285715889859f08bb/e250fdbcaf7669fa3269b6565491cdcc.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944072"";""13410"")",PLA Translucent,Mellow Yellow,https://store.bblcdn.eu/s8/default/826a4cff55a543089394ca0feddebbf5/af0454a2a27b7c6259624f48c64717dd.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944073"";""13211"")",PLA Translucent,Cherry Pink,https://store.bblcdn.eu/s8/default/2c0543a76f134b47aa85ce53a00c6b0a/b250b32bdc6d015ef107c6c2880ac956.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944074"";""13610"")",PLA Translucent,Ice Blue,https://store.bblcdn.eu/s8/default/dc877cda7f2b4bd4b186c54b14900a04/cce64cbc630f968803ae0beb0146a780.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-translucent?variant=593614166873944075"";""13711"")",PLA Translucent,Lavender,https://store.bblcdn.eu/s8/default/b09ff5a0de2748a0b57181fc5e568b1e/bc1c912b64c066d06fd795fee51d877b.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125123"";""32501"")",PETG Translucent,Translucent Teal,https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125124"";""32600"")",PETG Translucent,Translucent Light Blue,https://store.bblcdn.eu/s8/default/79b52c634adb47de830ba113a20ab628/JP34971.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125125"";""32101"")",PETG Translucent,Clear,https://store.bblcdn.eu/s8/default/5899d2a1aa444699b27ec132bb980860/3d4408c8738e6ed420e7e514a97a8bf9.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125126"";""32200"")",PETG Translucent,Translucent Pink,https://store.bblcdn.eu/s8/default/27751740714549488541e9ca7966f34b/JP34961.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125127"";""32500"")",PETG Translucent,Translucent Olive,https://store.bblcdn.eu/s8/default/b06b4fa130f14282924b9d304282cf12/JP34954.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125128"";""32300"")",PETG Translucent,Translucent Orange,https://store.bblcdn.eu/s8/default/e64e61b593ae40fd8b87cd7f9090f164/JP34975.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125129"";""32700"")",PETG Translucent,Translucent Purple,https://store.bblcdn.eu/s8/default/5ea62fbbfa36432eab39250ffcfcdc91/JP34969.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125130"";""32800"")",PETG Translucent,Translucent Brown,https://store.bblcdn.eu/s8/default/2acc9e4245994c39ba1f2cf138de896c/JP34965.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-translucent?variant=593615911029125131"";""32100"")",PETG Translucent,Translucent Gray,https://store.bblcdn.eu/s8/default/1c7d19e5ffc44d0a8a267d98098eb54a/JP34968.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387843"";""40102"")",ABS,ABS Silver,https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387844"";""40101"")",ABS,ABS Black,https://store.bblcdn.eu/s8/default/a6d1c0a83d8b46f081d159103411af21/ABS_Black.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387845"";""40100"")",ABS,ABS White,https://store.bblcdn.eu/s8/default/36667935a66b47a88f70a6972811d160/ABS_White.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387846"";""40200"")",ABS,ABS Red,https://store.bblcdn.eu/s8/default/2efb98b9aa3b4d53a79128e6dd1f846f/ABS_Red.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387847"";""40500"")",ABS,ABS Bambu Green,https://store.bblcdn.eu/s8/default/9f9b5ec2240847039bb96666464abf98/ABSbambugreen.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387848"";""40300"")",ABS,ABS Orange,https://store.bblcdn.eu/s8/default/e7a9d99123344fb99c40f2ab2b251ca2/ABSorange.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387849"";""40602"")",ABS,ABS Navy Blue,https://store.bblcdn.eu/s8/default/669a9881339743389287189f9ac15a38/0be9a584b30358020d8706f2aa8ec9c2.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387850"";""40402"")",ABS,ABS Tangerine Yellow,https://store.bblcdn.eu/s8/default/3cfc12de46f64f54b2a6426180654abc/7376d19b161f2a93a4051e47289d0505.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387851"";""40600"")",ABS,ABS Blue,https://store.bblcdn.eu/s8/default/aabac837c5b14da1a0694e8132819d29/ABS_Blue.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387852"";""40502"")",ABS,ABS Olive,https://store.bblcdn.eu/s8/default/03af465ddb1f494eb9f706fc15bb431d/80cf6768c03d129dfa6a01ac67a5b402.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/abs-filament?variant=593606671732387853"";""40601"")",ABS,ABS Azure,https://store.bblcdn.eu/s8/default/839fefc1f7d54ff085e4a577677ba338/000878ce6144c05ffac949f66b05a18b.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-tough-upgrade?variant=624496486489088002"";""12401"")",PLA Tough+,Yellow,https://store.bblcdn.eu/s8/default/76a53975eaab4238ab610612c4efdc5f/PLA_Tough_(3).jpg
